PyTorch APIs,MindSpore APIs,说明
torch.nn.functional.sigmoid,mindspore.mint.nn.functional.sigmoid,一致
torch.nn.functional.silu,mindspore.mint.nn.functional.silu,功能一致，MindSpore不含参数inplace
torch.nn.functional.smooth_l1_loss,mindspore.mint.nn.functional.smooth_l1_loss,一致
torch.nn.functional.softmax,mindspore.mint.nn.functional.softmax,一致
torch.nn.functional.softplus,mindspore.mint.nn.functional.softplus,一致
torch.nn.functional.softshrink,mindspore.mint.nn.functional.softshrink,一致
torch.nn.functional.tanh,mindspore.mint.nn.functional.tanh,一致
torch.nn.functional.unfold,mindspore.mint.nn.functional.unfold,一致
torch.special.erfc,mindspore.mint.special.erfc,一致
torch.special.exp2,mindspore.mint.special.exp2,一致
torch.special.expm1,mindspore.mint.special.expm1,一致
torch.special.log1p,mindspore.mint.special.log1p,一致
torch.special.log_softmax,mindspore.mint.special.log_softmax,一致
torch.special.round,mindspore.mint.special.round,一致
torch.special.sinc,mindspore.mint.special.sinc,一致
torch.Tensor.abs,mindspore.Tensor.abs,一致
torch.Tensor.absolute,mindspore.Tensor.absolute,一致
torch.Tensor.add,mindspore.Tensor.add,一致
torch.Tensor.all,mindspore.Tensor.all,一致
torch.Tensor.any,mindspore.Tensor.any,一致
torch.Tensor.argmax,mindspore.Tensor.argmax,一致
torch.Tensor.arctan2,mindspore.Tensor.arctan2,一致
torch.Tensor.argmin,mindspore.Tensor.argmin,一致
torch.Tensor.atan2,mindspore.Tensor.atan2,一致
torch.Tensor.bool,mindspore.Tensor.bool,一致
torch.Tensor.ceil,mindspore.Tensor.ceil,一致
torch.Tensor.chunk,mindspore.Tensor.chunk,一致
torch.Tensor.clamp,mindspore.Tensor.clamp,一致
torch.Tensor.clamp_,mindspore.Tensor.clamp_,一致
torch.Tensor.clip,mindspore.Tensor.clip,一致
torch.Tensor.cos,mindspore.Tensor.cos,一致
torch.Tensor.cumsum,mindspore.Tensor.cumsum,一致
torch.Tensor.div,mindspore.Tensor.div,一致
torch.Tensor.divide,mindspore.Tensor.divide,一致
torch.Tensor.eq,mindspore.Tensor.eq,一致
torch.Tensor.erf,mindspore.Tensor.erf,一致
torch.Tensor.exp,mindspore.Tensor.exp,一致
torch.Tensor.expand_as,mindspore.Tensor.expand_as,一致
torch.Tensor.flatten,mindspore.Tensor.flatten,一致
torch.Tensor.float,mindspore.Tensor.float,一致
torch.Tensor.floor,mindspore.Tensor.floor,一致
torch.Tensor.gather,mindspore.Tensor.gather,一致
torch.Tensor.greater,mindspore.Tensor.greater,一致
torch.Tensor.gt,mindspore.Tensor.gt,一致
torch.Tensor.half,mindspore.Tensor.half,一致
torch.Tensor.index_select,mindspore.Tensor.index_select,一致
torch.Tensor.int,mindspore.Tensor.int,一致
torch.Tensor.isfinite,mindspore.Tensor.isfinite,一致
torch.Tensor.isnan,mindspore.Tensor.isnan,一致
torch.Tensor.item,mindspore.Tensor.item,一致
torch.Tensor.le,mindspore.Tensor.le,一致
torch.Tensor.less,mindspore.Tensor.less,一致
torch.Tensor.less_equal,mindspore.Tensor.less_equal,一致
torch.Tensor.log,mindspore.Tensor.log,一致
torch.Tensor.logical_and,mindspore.Tensor.logical_and,一致
torch.Tensor.logical_not,mindspore.Tensor.logical_not,一致
torch.Tensor.logical_or,mindspore.Tensor.logical_or,一致
torch.Tensor.long,mindspore.Tensor.long,一致
torch.Tensor.lt,mindspore.Tensor.lt,一致
torch.Tensor.masked_fill,mindspore.Tensor.masked_fill,一致
torch.Tensor.masked_select,mindspore.Tensor.masked_select,一致
torch.Tensor.matmul,mindspore.Tensor.matmul,一致
torch.Tensor.max,mindspore.Tensor.max,一致
torch.Tensor.maximum,mindspore.Tensor.maximum,一致
torch.Tensor.mean,mindspore.Tensor.mean,一致
torch.Tensor.min,mindspore.Tensor.min,一致
torch.Tensor.minimum,mindspore.Tensor.minimum,一致
torch.Tensor.mul,mindspore.Tensor.mul,一致
torch.Tensor.nan_to_num,mindspore.Tensor.nan_to_num,一致
torch.Tensor.ne,mindspore.Tensor.ne,一致
torch.Tensor.neg,mindspore.Tensor.neg,一致
torch.Tensor.negative,mindspore.Tensor.negative,一致
torch.Tensor.not_equal,mindspore.Tensor.not_equal,一致
torch.Tensor.pow,mindspore.Tensor.pow,一致
torch.Tensor.prod,mindspore.Tensor.prod,一致
torch.Tensor.reciprocal,mindspore.Tensor.reciprocal,一致
torch.Tensor.remainder,mindspore.Tensor.remainder,一致
torch.Tensor.repeat_interleave,mindspore.Tensor.repeat_interleave,一致
torch.Tensor.reshape,mindspore.Tensor.reshape,一致
torch.Tensor.round,mindspore.Tensor.round,一致
torch.Tensor.rsqrt,mindspore.Tensor.rsqrt,一致
torch.Tensor.scatter,mindspore.Tensor.scatter,一致
torch.Tensor.scatter_add,mindspore.Tensor.scatter_add,一致
torch.Tensor.sigmoid,mindspore.Tensor.sigmoid,一致
torch.Tensor.sin,mindspore.Tensor.sin,一致
torch.Tensor.sort,mindspore.Tensor.sort,一致
torch.Tensor.split,mindspore.Tensor.split,一致
torch.Tensor.sqrt,mindspore.Tensor.sqrt,一致
torch.Tensor.square,mindspore.Tensor.square,一致
torch.Tensor.sub,mindspore.Tensor.sub,一致
torch.Tensor.sum,mindspore.Tensor.sum,一致
torch.Tensor.t,mindspore.Tensor.t,一致
torch.Tensor.tanh,mindspore.Tensor.tanh,一致
torch.Tensor.tile,mindspore.Tensor.tile,一致
torch.Tensor.topk,mindspore.Tensor.topk,一致
torch.Tensor.tril,mindspore.Tensor.tril,一致
torch.Tensor.trunc,mindspore.Tensor.trunc,一致
torch.Tensor.view_as,mindspore.Tensor.view_as,一致
torch.Tensor.where,mindspore.Tensor.where,一致
torch.optim.Adam,mindspore.mint.optim.Adam,功能一致，PyTorch多一些优化参数
torch.optim.AdamW,mindspore.mint.optim.AdamW,功能一致，PyTorch多一些优化参数
torch.utils.data.DataLoader,mindspore.dataset.GeneratorDataset,差异对比
torch.utils.data.distributed.DistributedSampler,mindspore.dataset.DistributedSampler,差异对比
torch.utils.data.RandomSampler,mindspore.dataset.RandomSampler,差异对比
torch.utils.data.SequentialSampler,mindspore.dataset.SequentialSampler,差异对比
